ID,User,Story Title,User Stories,Impact,Satisfaction,Score,Priority,MVP,Story Pts,Relevant PRD,Status,Epics
US-63,All Users,Strategy Refinement & Iteration (AI-Assisted),"As a user, I want to use conversational AI to assist me in refining my ETH momentum strategy by adding a volatility stop and explaining the expected impact, so I can confidently enhance my strategies and understand the effects of modifications",5,1,9,Must Have,Yes,,[MAS] Strategy Analyst (Agent) (https://www.notion.so/MAS-Strategy-Analyst-Agent-2931191b72fc80b1ad09ddf7ae4eabcb?pvs=21),Not started,Personalized Investment Companion (https://www.notion.so/Personalized-Investment-Companion-2f61191b72fc806b846eddfdb5fa8a98?pvs=21)
US-62,All Users,New Strategy Creation (AI-Assisted),"As a user, I want to use conversational AI to help me create a strategy for the preferred assets, so I can intuitively design and understand new strategies tailored to my needs without technical barriers.",5,1,9,Must Have,Yes,,[MAS] Strategy Analyst (Agent) (https://www.notion.so/MAS-Strategy-Analyst-Agent-2931191b72fc80b1ad09ddf7ae4eabcb?pvs=21),Not started,Personalized Investment Companion (https://www.notion.so/Personalized-Investment-Companion-2f61191b72fc806b846eddfdb5fa8a98?pvs=21)
US-61,B2C User,Usage-Based Upgrade Prompt,"As a retail user, I want to receive upgrade prompts when I’m close to or have exhausted my credits, so I can consider moving to a higher tier for more resources.",5,1,9,Must Have,Yes,,Subscription Model (https://www.notion.so/Subscription-Model-2a81191b72fc8037974ef16a3caca490?pvs=21),Not started,
US-60,B2C User,Tokens Usage,"As a retail user, I want to see my current tokens balance and usage details, so I can optimize my platform usage and upgrade if needed.",5,1,9,Must Have,Yes,,Subscription Model (https://www.notion.so/Subscription-Model-2a81191b72fc8037974ef16a3caca490?pvs=21),Not started,
US-59,B2C User,Upgrade / Downgrade Subscription,"As a retail user, I want to easily upgrade, downgrade, or cancel my subscription and see the impact on my account features in real time.",5,1,9,Must Have,Yes,,Subscription Model (https://www.notion.so/Subscription-Model-2a81191b72fc8037974ef16a3caca490?pvs=21),Not started,
US-58,"B2C User, Stakeholder",Tiered Feature Access,"As the business owner, I want to enable the users to unlock/limit features based on their subscription tier and verification status automatically",5,1,9,Must Have,Yes,,Subscription Model (https://www.notion.so/Subscription-Model-2a81191b72fc8037974ef16a3caca490?pvs=21),Not started,
US-57,B2C User,Trial Access Management,"As a first-time user, I want a 7-day Premium Trial so I can experience premium features before committing.",5,1,9,Must Have,Yes,,Subscription Model (https://www.notion.so/Subscription-Model-2a81191b72fc8037974ef16a3caca490?pvs=21),Not started,Onboarding B2C Users (https://www.notion.so/Onboarding-B2C-Users-2cf1191b72fc80148028f8f14adbf9e8?pvs=21)
US-56,B2C User,Registration & Onboarding,"As a new user, I want to quickly register and get instant access to Free/Pro features so I can evaluate the platform without friction.",5,1,9,Must Have,Yes,,Subscription Model (https://www.notion.so/Subscription-Model-2a81191b72fc8037974ef16a3caca490?pvs=21),Not started,Onboarding B2C Users (https://www.notion.so/Onboarding-B2C-Users-2cf1191b72fc80148028f8f14adbf9e8?pvs=21)
US-55,B2C User,Personalize Portfolio Dashboard,"As a retail user, I want to customize my portfolio dashboard, notification preferences, and analytics to fit my goals and workflow.",3,2,4,Wish,No,,Portfolio Management (https://www.notion.so/Portfolio-Management-29b1191b72fc80e4a559f93af229f242?pvs=21),Not started,Multi-Asset Intelligence (https://www.notion.so/Multi-Asset-Intelligence-2d91191b72fc809ab2a6f70ce5cfd55c?pvs=21)
US-54,B2C User,Personalize Recommendation (4),"As a retail user, I want to receive personalized insights to optimize, rebalancing, and risk mitigation for my portfolio.",5,1,9,Should Have,No,,Portfolio Management (https://www.notion.so/Portfolio-Management-29b1191b72fc80e4a559f93af229f242?pvs=21),Not started,Multi-Asset Intelligence (https://www.notion.so/Multi-Asset-Intelligence-2d91191b72fc809ab2a6f70ce5cfd55c?pvs=21)
US-53,B2C User,Portfolio Overview,"As a retail user, I want a centralized dashboard that shows my total portfolio value, asset breakdown, and performance metrics in real time.",5,1,9,Must Have,Yes,,Portfolio Management (https://www.notion.so/Portfolio-Management-29b1191b72fc80e4a559f93af229f242?pvs=21),Not started,Multi-Asset Intelligence (https://www.notion.so/Multi-Asset-Intelligence-2d91191b72fc809ab2a6f70ce5cfd55c?pvs=21)
US-52,B2C User,Portfolio Connection,"As a retail user, I want to securely connect my brokerage/exchange accounts so that I can automatically retrieve, view, and manage my actual portfolio holdings in one place.",5,1,9,Must Have,Yes,,Portfolio Management (https://www.notion.so/Portfolio-Management-29b1191b72fc80e4a559f93af229f242?pvs=21),Not started,Multi-Asset Intelligence (https://www.notion.so/Multi-Asset-Intelligence-2d91191b72fc809ab2a6f70ce5cfd55c?pvs=21)
US-51,B2C User,Contextual-Based Filtering (2),"As a retail user, I want to receive recommendations that combine my preferences, my interaction history, strategy performance, and what’s trending on the platform, so I always get the most relevant and timely suggestions.",5,1,9,Nice-To-Have,No,,Midas Recommendation (https://www.notion.so/Midas-Recommendation-2931191b72fc80c8a7e0d22cc9095b93?pvs=21),Not started,AI-Driven Recommendation (https://www.notion.so/AI-Driven-Recommendation-2e31191b72fc800eb9e9d84deaed66da?pvs=21)
US-50,All Users,Performance-Based Filtering,"As a user, I want to filter and receive recommendations based on specific performance criteria (e.g., win rate above 70%, drawdown below 10%), so I can focus on high-quality, risk-controlled strategies.",4,3,5,Should Have,Yes,,Midas Recommendation (https://www.notion.so/Midas-Recommendation-2931191b72fc80c8a7e0d22cc9095b93?pvs=21),Not started,AI-Driven Recommendation (https://www.notion.so/AI-Driven-Recommendation-2e31191b72fc800eb9e9d84deaed66da?pvs=21)
US-49,All Users,Contextual-Based Filtering (1),"As a user, I want the AI to automatically search the community’s historical backtest records and recommend strategies that share similar structural features or trading logic I created and backtest, which also demonstrate superior performance.",5,1,9,Should Have,No,,Midas Recommendation (https://www.notion.so/Midas-Recommendation-2931191b72fc80c8a7e0d22cc9095b93?pvs=21),Not started,AI-Driven Recommendation (https://www.notion.so/AI-Driven-Recommendation-2e31191b72fc800eb9e9d84deaed66da?pvs=21)
US-48,B2C User,Context-Aware Collaborative Filtering,"As a retail user, I want to benefit from the experience and preferences of other users with similar interests, so I can find popular and effective strategies that people like me are using.",4,3,5,Nice-To-Have,No,,Midas Recommendation (https://www.notion.so/Midas-Recommendation-2931191b72fc80c8a7e0d22cc9095b93?pvs=21),Not started,AI-Driven Recommendation (https://www.notion.so/AI-Driven-Recommendation-2e31191b72fc800eb9e9d84deaed66da?pvs=21)
US-47,B2C User,Content-Based Filtering,"As a retail user, I want to discover new strategies that share similar attributes (such as asset type, tags, timeframe) to those I have already explored, so I can efficiently find relevant options that fit my interests or trading style.",4,3,5,Must Have,Yes,,Midas Recommendation (https://www.notion.so/Midas-Recommendation-2931191b72fc80c8a7e0d22cc9095b93?pvs=21),Not started,AI-Driven Recommendation (https://www.notion.so/AI-Driven-Recommendation-2e31191b72fc800eb9e9d84deaed66da?pvs=21)
US-46,B2C User,Strategies Leaderboard,"As a strategy developer, I want the platform to display my strategy’s ranking and user engagement metrics (such as number of favorites, backtests, and applications) on the trending leaderboard, so I can understand which of my strategies are gaining traction, optimize accordingly, and increase visibility and user adoption.",5,1,9,Nice-To-Have,No,,Trading Strategies (https://www.notion.so/Trading-Strategies-29b1191b72fc800d875bcbb76b3766a9?pvs=21),Not started,Strategy Creation & Customization (https://www.notion.so/Strategy-Creation-Customization-2d91191b72fc80959eaffcb2491fa02c?pvs=21)
US-45,B2C User,WebApp Dashboard,"As a new user, I want to be greeted with AI-curated recommendations of the week’s or month’s hottest strategies and most discussed community topics as soon as I join the platform, so I can quickly onboard, reduce choice anxiety, and feel engaged from the start.",5,1,9,Must Have,Yes,,Midas Recommendation (https://www.notion.so/Midas-Recommendation-2931191b72fc80c8a7e0d22cc9095b93?pvs=21),Not started,Onboarding B2C Users (https://www.notion.so/Onboarding-B2C-Users-2cf1191b72fc80148028f8f14adbf9e8?pvs=21)
US-44,All Users,Trending Strategies (2),"As a platform operator or product manager, I want to track user interactions with various strategies (favorites, backtests, applications), so that the system can automatically generate and push “recently trending strategies” leaderboards, and provide API endpoints for external partners to enhance platform stickiness, boost user engagement and conversion, and enable B2B data integration.",5,1,9,Nice-To-Have,Yes,,"Trading Strategies (https://www.notion.so/Trading-Strategies-29b1191b72fc800d875bcbb76b3766a9?pvs=21), Midas Recommendation (https://www.notion.so/Midas-Recommendation-2931191b72fc80c8a7e0d22cc9095b93?pvs=21)",Not started,AI-Driven Recommendation (https://www.notion.so/AI-Driven-Recommendation-2e31191b72fc800eb9e9d84deaed66da?pvs=21)
US-43,All Users,Trending Strategies (1),"As an investor, I want to instantly see a list of trending or most popular strategies on the platform’s main page or strategy section, so that I can quickly identify current market favorites and discover recent high-performing opportunities across multiple asset classes (crypto, stocks, FX, commodities) to boost my decision-making efficiency and confidence.",5,1,9,Nice-To-Have,Yes,,"Trading Strategies (https://www.notion.so/Trading-Strategies-29b1191b72fc800d875bcbb76b3766a9?pvs=21), Midas Recommendation (https://www.notion.so/Midas-Recommendation-2931191b72fc80c8a7e0d22cc9095b93?pvs=21)",Not started,AI-Driven Recommendation (https://www.notion.so/AI-Driven-Recommendation-2e31191b72fc800eb9e9d84deaed66da?pvs=21)
US-42,B2C User,Share Strategies via Social Media,"As a retail user, I want to share my favorite or high-performing investment strategies directly to my social media channels (such as Telegram, YouTube, X/Twitter, or WhatsApp), so that I can showcase my insights, discuss with my network, or invite others to follow and apply these strategies.",4,3,5,Nice-To-Have,No,,Trading Strategies (https://www.notion.so/Trading-Strategies-29b1191b72fc800d875bcbb76b3766a9?pvs=21),Not started,Strategy Creation & Customization (https://www.notion.so/Strategy-Creation-Customization-2d91191b72fc80959eaffcb2491fa02c?pvs=21)
US-41,Stakeholder,Related Strategies,"As the owner, I want to have the AI recommended strategies (with similar logic, asset class, performance or risk profile), so that we can cross-sell the users when they are viewing particular strategy.",5,1,9,Should Have,Yes,,"Trading Strategies (https://www.notion.so/Trading-Strategies-29b1191b72fc800d875bcbb76b3766a9?pvs=21), Midas Recommendation (https://www.notion.so/Midas-Recommendation-2931191b72fc80c8a7e0d22cc9095b93?pvs=21)",Not started,Strategy Creation & Customization (https://www.notion.so/Strategy-Creation-Customization-2d91191b72fc80959eaffcb2491fa02c?pvs=21)
US-40,All Users,Conversional AI Assistant,"As a user, I want an AI agent to assist me by recommending suitable strategies or assets based on my risk appetite and preferences, so that I can efficiently discover, compare, and act on optimal opportunities tailored to my needs via a conversational and intuitive interface.",5,1,9,Should Have,Yes,,,Not started,"Strategy Creation & Customization (https://www.notion.so/Strategy-Creation-Customization-2d91191b72fc80959eaffcb2491fa02c?pvs=21), Personalized Investment Companion (https://www.notion.so/Personalized-Investment-Companion-2f61191b72fc806b846eddfdb5fa8a98?pvs=21)"
US-39,All Users,Customize Strategy,"As a user, I want to save a strategy after I have customized its parameters or logic using the visual builder or by cloning a predefined model, so that I can keep my personalized version for future backtesting, refinement, or live application.",4,1,7,Must Have,Yes,,Trading Strategies (https://www.notion.so/Trading-Strategies-29b1191b72fc800d875bcbb76b3766a9?pvs=21),Not started,Strategy Creation & Customization (https://www.notion.so/Strategy-Creation-Customization-2d91191b72fc80959eaffcb2491fa02c?pvs=21)
US-38,B2C User,Bookmark Predefined Strategy,"As a user, I want to bookmark strategies from the predefined strategies gallery or strategy detail page,
so that I can easily access and revisit my favorite or high-potential strategies for review, comparison, or further action at a later time.",3,3,3,Wish,No,,Trading Strategies (https://www.notion.so/Trading-Strategies-29b1191b72fc800d875bcbb76b3766a9?pvs=21),Not started,Strategy Creation & Customization (https://www.notion.so/Strategy-Creation-Customization-2d91191b72fc80959eaffcb2491fa02c?pvs=21)
US-35,All Users,Apply Strategy,"As a user, I want to apply strategies to my portfolio directly from their overview, so I can quickly adapt to market changes.",4,1,7,Must Have,Yes,,"Portfolio Management (https://www.notion.so/Portfolio-Management-29b1191b72fc80e4a559f93af229f242?pvs=21), Trading Strategies (https://www.notion.so/Trading-Strategies-29b1191b72fc800d875bcbb76b3766a9?pvs=21), Watchlists (https://www.notion.so/Watchlists-2f01191b72fc80698ee8f60cfafd9168?pvs=21)",Not started,Multi-Asset Intelligence (https://www.notion.so/Multi-Asset-Intelligence-2d91191b72fc809ab2a6f70ce5cfd55c?pvs=21)
US-34,All Users,Add to Watchlist,"As a user, I want to add assets to my watchlist directly from their overview, so I never lose track of potential opportunities.",4,1,7,Must Have,Yes,,"Trading Strategies (https://www.notion.so/Trading-Strategies-29b1191b72fc800d875bcbb76b3766a9?pvs=21), Watchlists (https://www.notion.so/Watchlists-2f01191b72fc80698ee8f60cfafd9168?pvs=21)",Not started,"Multi-Asset Intelligence (https://www.notion.so/Multi-Asset-Intelligence-2d91191b72fc809ab2a6f70ce5cfd55c?pvs=21), Asset Discovery (https://www.notion.so/Asset-Discovery-2f61191b72fc80028e49cd3a4784dbfd?pvs=21)"
US-33,All Users,Strategy Review,"As a user, I want to review and clone strategy ideas for specific assets, so I can observe my watchlist or enhance my portfolio with proven models.",4,2,6,Nice-To-Have,Yes,,Watchlists (https://www.notion.so/Watchlists-2f01191b72fc80698ee8f60cfafd9168?pvs=21),Not started,Multi-Asset Intelligence (https://www.notion.so/Multi-Asset-Intelligence-2d91191b72fc809ab2a6f70ce5cfd55c?pvs=21)
US-32,All Users,Asset Picker,"As a user, I want to add new assets to my portfolio using an asset picker or by importing a CSV, so I can quickly adapt to market changes.",5,1,9,Must Have,Yes,,"Portfolio Management (https://www.notion.so/Portfolio-Management-29b1191b72fc80e4a559f93af229f242?pvs=21), Watchlists (https://www.notion.so/Watchlists-2f01191b72fc80698ee8f60cfafd9168?pvs=21), Asset Discovery (https://www.notion.so/Asset-Discovery-2f51191b72fc8099a074f5cbf849ad5f?pvs=21)",Not started,"Multi-Asset Intelligence (https://www.notion.so/Multi-Asset-Intelligence-2d91191b72fc809ab2a6f70ce5cfd55c?pvs=21), Asset Discovery (https://www.notion.so/Asset-Discovery-2f61191b72fc80028e49cd3a4784dbfd?pvs=21)"
US-31,All Users,Personalize Recommendation (3),"As a user, I want to receive strategy and asset recommendations based on my risk profile, so I can discover new opportunities aligned to my preferences.",5,1,9,Nice-To-Have,No,,"Portfolio Management (https://www.notion.so/Portfolio-Management-29b1191b72fc80e4a559f93af229f242?pvs=21), [MAS] Strategy Analyst (Agent) (https://www.notion.so/MAS-Strategy-Analyst-Agent-2931191b72fc80b1ad09ddf7ae4eabcb?pvs=21), Watchlists (https://www.notion.so/Watchlists-2f01191b72fc80698ee8f60cfafd9168?pvs=21)",Not started,Multi-Asset Intelligence (https://www.notion.so/Multi-Asset-Intelligence-2d91191b72fc809ab2a6f70ce5cfd55c?pvs=21)
US-30,All Users,Scenario Analysis,"As a user, I want to run scenario analyses (e.g., “What if I reallocate to more defensive assets?”), so I can plan for different market outcomes.",5,1,9,Nice-To-Have,No,,"Portfolio Management (https://www.notion.so/Portfolio-Management-29b1191b72fc80e4a559f93af229f242?pvs=21), Watchlists (https://www.notion.so/Watchlists-2f01191b72fc80698ee8f60cfafd9168?pvs=21)",Not started,Multi-Asset Intelligence (https://www.notion.so/Multi-Asset-Intelligence-2d91191b72fc809ab2a6f70ce5cfd55c?pvs=21)
US-29,All Users,Risk Assessment,"As a user, I want to receive a risk assessment of my current portfolio, so I understand exposure, correlations, and potential vulnerabilities.",5,1,9,Should Have,Yes,,"Portfolio Management (https://www.notion.so/Portfolio-Management-29b1191b72fc80e4a559f93af229f242?pvs=21), Watchlists (https://www.notion.so/Watchlists-2f01191b72fc80698ee8f60cfafd9168?pvs=21)",Not started,Multi-Asset Intelligence (https://www.notion.so/Multi-Asset-Intelligence-2d91191b72fc809ab2a6f70ce5cfd55c?pvs=21)
US-28,All Users,Performance Metrics,"As a user, I want to see consolidated performance metrics (PnL, drawdown, Sharpe ratio, etc.) for my entire portfolio as well as individual assets, so I can track my progress and optimize holdings.",5,1,9,Must Have,Yes,,"Portfolio Management (https://www.notion.so/Portfolio-Management-29b1191b72fc80e4a559f93af229f242?pvs=21), Watchlists (https://www.notion.so/Watchlists-2f01191b72fc80698ee8f60cfafd9168?pvs=21)",Not started,Multi-Asset Intelligence (https://www.notion.so/Multi-Asset-Intelligence-2d91191b72fc809ab2a6f70ce5cfd55c?pvs=21)
US-27,All Users,Backtest,"As a user, I want to run backtests on assets or strategies from my watchlist, so I can validate ideas before trade execution.",5,1,9,Must Have,Yes,,"Portfolio Management (https://www.notion.so/Portfolio-Management-29b1191b72fc80e4a559f93af229f242?pvs=21), Watchlists (https://www.notion.so/Watchlists-2f01191b72fc80698ee8f60cfafd9168?pvs=21)",Not started,Multi-Asset Intelligence (https://www.notion.so/Multi-Asset-Intelligence-2d91191b72fc809ab2a6f70ce5cfd55c?pvs=21)
US-26,All Users,Asset Tracking,"As a user, I want to view a single asset’s overview (performance, risk, news), so I can make informed decisions before acting.",5,1,9,Must Have,Yes,,"Portfolio Management (https://www.notion.so/Portfolio-Management-29b1191b72fc80e4a559f93af229f242?pvs=21), Watchlists (https://www.notion.so/Watchlists-2f01191b72fc80698ee8f60cfafd9168?pvs=21)",Not started,Multi-Asset Intelligence (https://www.notion.so/Multi-Asset-Intelligence-2d91191b72fc809ab2a6f70ce5cfd55c?pvs=21)
US-25,All Users,Multiple Watchlists,"As a user, I want to create and manage multiple watchlists, so I can easily monitor assets and strategies that interest me.",5,1,9,Should Have,Yes,,Watchlists (https://www.notion.so/Watchlists-2f01191b72fc80698ee8f60cfafd9168?pvs=21),Not started,Multi-Asset Intelligence (https://www.notion.so/Multi-Asset-Intelligence-2d91191b72fc809ab2a6f70ce5cfd55c?pvs=21)
US-24,All Users,Backtest Result Alerts,"As a user, I want to receive backtest results and live signals via my preferred messaging app, so I never miss important updates.",5,1,9,Must Have,Yes,,Trading Strategies (https://www.notion.so/Trading-Strategies-29b1191b72fc800d875bcbb76b3766a9?pvs=21),Not started,Strategy Creation & Customization (https://www.notion.so/Strategy-Creation-Customization-2d91191b72fc80959eaffcb2491fa02c?pvs=21)
US-23,All Users,Personalize Recommendation (2),"As a user, I want to get personalized strategy recommendations, so I can discover new opportunities aligned to my profile.",5,1,9,Nice-To-Have,No,,Trading Strategies (https://www.notion.so/Trading-Strategies-29b1191b72fc800d875bcbb76b3766a9?pvs=21),Not started,Strategy Creation & Customization (https://www.notion.so/Strategy-Creation-Customization-2d91191b72fc80959eaffcb2491fa02c?pvs=21)
US-22,All Users,Backtest Strategies,"As a user, I want to backtest strategies and view comprehensive results, so I can make data-driven deployment decisions.",5,1,9,Must Have,Yes,,Trading Strategies (https://www.notion.so/Trading-Strategies-29b1191b72fc800d875bcbb76b3766a9?pvs=21),Not started,Strategy Creation & Customization (https://www.notion.so/Strategy-Creation-Customization-2d91191b72fc80959eaffcb2491fa02c?pvs=21)
US-21,All Users,Create Strategies,"As a user, I want to visually build or clone strategies, so I can create custom approaches without coding.",5,1,9,Must Have,Yes,,Trading Strategies (https://www.notion.so/Trading-Strategies-29b1191b72fc800d875bcbb76b3766a9?pvs=21),Not started,Strategy Creation & Customization (https://www.notion.so/Strategy-Creation-Customization-2d91191b72fc80959eaffcb2491fa02c?pvs=21)
US-20,All Users,Personalize Recommendation (1),"As a user, I want the platform to display the most relevant predefined strategies itself that match my risk appetize, so I can quickly pick ones that I prefer.",5,2,8,Nice-To-Have,No,,Trading Strategies (https://www.notion.so/Trading-Strategies-29b1191b72fc800d875bcbb76b3766a9?pvs=21),Not started,Strategy Creation & Customization (https://www.notion.so/Strategy-Creation-Customization-2d91191b72fc80959eaffcb2491fa02c?pvs=21)
US-19,All Users,Predefined Strategies,"As a user, I want to browse and filter predefined strategies so I can quickly find ones that match my risk preference.",5,1,9,Must Have,Yes,,Trading Strategies (https://www.notion.so/Trading-Strategies-29b1191b72fc800d875bcbb76b3766a9?pvs=21),Not started,"Strategy Creation & Customization (https://www.notion.so/Strategy-Creation-Customization-2d91191b72fc80959eaffcb2491fa02c?pvs=21), Asset Discovery (https://www.notion.so/Asset-Discovery-2f61191b72fc80028e49cd3a4784dbfd?pvs=21)"
US-18,All Users,Strategy Recommendations Alerts,"As a user, I want to get timely notifications about strategy recommendations with its backtest results or relevant market events, so I never miss actionable opportunities.",5,1,9,Must Have,Yes,,"Email Notification System (https://www.notion.so/Email-Notification-System-2a41191b72fc805f9858d16aafc3df34?pvs=21), Trading Strategies (https://www.notion.so/Trading-Strategies-29b1191b72fc800d875bcbb76b3766a9?pvs=21)",In progress,Alerts (https://www.notion.so/Alerts-2d81191b72fc804da66aca91d6c334e2?pvs=21)
US-17,All Users,Account Events (3),"As a user, I want to receive notifications about the performance summaries once a week, so I am always aware of the portfolio performance.",5,1,9,Must Have,Yes,,Email Notification System (https://www.notion.so/Email-Notification-System-2a41191b72fc805f9858d16aafc3df34?pvs=21),Not started,Alerts (https://www.notion.so/Alerts-2d81191b72fc804da66aca91d6c334e2?pvs=21)
US-16,All Users,Account Events (2),"As a user, I want to customize which types of email notifications I receive (e.g., opt in/out of marketing or non-critical alerts), so the communication is relevant to me.",3,3,3,Should Have,Yes,,Email Notification System (https://www.notion.so/Email-Notification-System-2a41191b72fc805f9858d16aafc3df34?pvs=21),Not started,Alerts (https://www.notion.so/Alerts-2d81191b72fc804da66aca91d6c334e2?pvs=21)
US-15,"B2C User, Org Admin",Account Events (1),"As an Org Admin / B2C user, I want to receive notifications about important account actions (e.g., subscription status changes), so I am always aware of my account standing.",3,3,3,Should Have,Yes,,Email Notification System (https://www.notion.so/Email-Notification-System-2a41191b72fc805f9858d16aafc3df34?pvs=21),Not started,Alerts (https://www.notion.so/Alerts-2d81191b72fc804da66aca91d6c334e2?pvs=21)
US-14,B2C User,Account Confirmation,"As a user, I want to receive an email after register an account, so I know my onboarding is successful and can access the platform.",5,1,9,Must Have,Yes,,"Email Notification System (https://www.notion.so/Email-Notification-System-2a41191b72fc805f9858d16aafc3df34?pvs=21), User Management System (https://www.notion.so/User-Management-System-2a31191b72fc8008bfa1f93fe5d5cc3c?pvs=21)",In progress,Alerts (https://www.notion.so/Alerts-2d81191b72fc804da66aca91d6c334e2?pvs=21)
US-13,Org Admin,Account Activation,"As an Org Admin, I want to be notified by email when team members accounts are being activated, deactivated, or change roles, so I can maintain oversight of organization access.",3,3,3,Must Have,Yes,,Email Notification System (https://www.notion.so/Email-Notification-System-2a41191b72fc805f9858d16aafc3df34?pvs=21),Not started,Alerts (https://www.notion.so/Alerts-2d81191b72fc804da66aca91d6c334e2?pvs=21)
US-12,B2C User,Registration Error Feedback,"As a retail user, I want to receive clear, real-time feedback on any errors or missing information during the registration process, so that I can quickly correct my input and complete my account creation without confusion or frustration.",5,1,9,Must Have,Yes,,User Management System (https://www.notion.so/User-Management-System-2a31191b72fc8008bfa1f93fe5d5cc3c?pvs=21),In progress,Onboarding B2C Users (https://www.notion.so/Onboarding-B2C-Users-2cf1191b72fc80148028f8f14adbf9e8?pvs=21)
US-11,B2C User,Account Security & Recovery,"As a retail user, I want my account to be secure, including email verification, account lockout after repeated failed logins, and a secure password reset process, so I can trust the platform with my sensitive information.",5,1,9,Must Have,Yes,,"Email Notification System (https://www.notion.so/Email-Notification-System-2a41191b72fc805f9858d16aafc3df34?pvs=21), User Management System (https://www.notion.so/User-Management-System-2a31191b72fc8008bfa1f93fe5d5cc3c?pvs=21)",In progress,Onboarding B2C Users (https://www.notion.so/Onboarding-B2C-Users-2cf1191b72fc80148028f8f14adbf9e8?pvs=21)
